Fecha (dd/mm/aaaa) ,Clasificación de la Entidad,Clase de Cuenta,Orden,Cuenta,Tasa (%),Monto (COP)
06/18/2008,Total establecimientos,CDT,111,A 180 días,9.16907679438318,40254.39912
06/18/2008,Total establecimientos,CDT,113,A 360 días,6.9123894925746,5998.01429
06/19/2008,Total establecimientos,CDT,107,A 90 días,10.0767998148633,151564.04525
06/19/2008,Total establecimientos,CDT,111,A 180 días,9.8259626196369,63132.28374
06/19/2008,Total establecimientos,CDT,113,A 360 días,8.00269498619412,5064.32814
06/20/2008,Total establecimientos,CDT,107,A 90 días,8.43205068518395,33312.89392
06/20/2008,Total establecimientos,CDT,111,A 180 días,9.2656585238599,37159.77362
06/20/2008,Total establecimientos,CDT,113,A 360 días,7.76314901223251,6037.21503
06/23/2008,Total establecimientos,CDT,107,A 90 días,9.52099591561993,117213.80783
06/23/2008,Total establecimientos,CDT,111,A 180 días,9.28025393965205,59793.87033
06/23/2008,Total establecimientos,CDT,113,A 360 días,9.28330688277099,13219.04809
06/24/2008,Total establecimientos,CDT,107,A 90 días,9.47122204380236,65235.28629
06/24/2008,Total establecimientos,CDT,111,A 180 días,9.633140674033,49453.05934
06/24/2008,Total establecimientos,CDT,113,A 360 días,9.64873854873801,10028.11331
06/25/2008,Total establecimientos,CDT,107,A 90 días,9.67153896345044,131829.81646
06/25/2008,Total establecimientos,CDT,111,A 180 días,8.99291274260177,33387.66068
06/25/2008,Total establecimientos,CDT,113,A 360 días,9.44418922982633,18005.38193
06/26/2008,Total establecimientos,CDT,107,A 90 días,10.364604131081,209098.40204
06/26/2008,Total establecimientos,CDT,111,A 180 días,9.72857805150109,55780.68388
06/26/2008,Total establecimientos,CDT,113,A 360 días,9.29367410566562,7127.48722
06/27/2008,Total establecimientos,CDT,107,A 90 días,8.99912961601205,58183.45329
06/27/2008,Total establecimientos,CDT,111,A 180 días,9.36642834991441,50954.83996
06/27/2008,Total establecimientos,CDT,113,A 360 días,8.13936447144483,7457.23895
07/01/2008,Total establecimientos,CDT,107,A 90 días,9.29666111573068,126096.88962
07/01/2008,Total establecimientos,CDT,111,A 180 días,9.04092755618971,50062.8285
07/01/2008,Total establecimientos,CDT,113,A 360 días,8.24019529028044,8501.28676
07/02/2008,Total establecimientos,CDT,107,A 90 días,9.3740358175686,82037.31547
