DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112419,4,,1,1,1,1,1,1,2,1,2,1,1,1307.7846643
112420,4,,1,1,2,1,1,1,2,1,2,1,1,1289.7351229
112421,4,,1,1,1,1,1,1,2,1,2,1,1,1536.7123532
112422,4,,1,1,1,1,1,1,1,1,2,1,1,978.60955952
112423,4,,1,1,2,1,1,1,2,1,2,1,1,825.34947343
112424,4,,1,1,1,1,1,1,2,1,2,1,1,1374.2454783
112425,3,,1,1,1,1,1,1,1,1,2,1,1,727.26941185
112426,3,,1,1,1,1,1,1,1,1,2,1,1,1182.0449486
112427,3,,1,1,1,1,1,1,1,1,2,1,1,613.85872145
112428,3,,1,1,1,1,1,1,1,1,2,1,1,868.40909779
112429,3,,1,1,1,1,1,1,1,1,2,1,1,788.10074547
112430,3,,1,1,1,1,1,1,1,1,2,1,1,894.3922342
112431,3,,1,1,1,1,1,1,1,1,2,1,1,697.73126348
112433,3,,2,1,1,1,1,2,2,2,,1,1,1100.7504627
112434,3,,2,1,1,1,1,2,2,2,,2,1,810.28306844
112435,3,,2,1,1,1,1,2,2,2,,1,1,644.40517282
112437,3,,1,1,2,1,2,1,1,1,3,1,1,527.88315846
112439,3,,1,1,1,1,2,1,1,1,3,1,1,934.28704227
112440,3,,1,1,2,1,2,2,1,1,3,1,1,732.17403088
112441,3,,1,1,2,1,2,1,1,1,3,1,1,688.15970788
112442,3,,1,1,1,1,2,1,1,1,3,1,1,532.53268911
112443,3,,1,1,3,1,2,2,2,1,2,1,1,91.928596428
112444,3,,1,1,2,1,2,2,2,1,2,1,1,84.847395334
112445,3,,1,1,2,1,2,2,2,1,2,1,1,53.070286898
112446,3,,1,1,2,1,2,2,2,1,2,1,1,92.071507887
112447,3,,1,1,1,1,2,2,2,1,2,1,1,90.825838241
112448,3,,1,1,2,1,2,2,2,1,2,1,1,91.785684969
112449,3,,1,1,1,1,2,2,2,1,2,1,1,72.957071812
