Orden,Cuentas,Valor,Unidad de medida y moneda,Fecha (Año),Estados de la informacion,Periodicidad,Trimestre
1,    1 Cuenta corriente,-1602.633846,Millones - Dólares estadounidenses corrientes,2024,Dato provisional,Trimestral,Q3
1,    1 Cuenta corriente,-2279.579024,Millones - Dólares estadounidenses corrientes,2024,Dato provisional,Trimestral,Q4
1,    1 Cuenta corriente,-7152.37021,Millones - Dólares estadounidenses corrientes,2025,Dato preliminar,Anual,
1,    1 Cuenta corriente,-1873.189158,Millones - Dólares estadounidenses corrientes,2025,Dato preliminar,Trimestral,Q1
1,    1 Cuenta corriente,-2426.149573,Millones - Dólares estadounidenses corrientes,2025,Dato preliminar,Trimestral,Q2
1,    1 Cuenta corriente,-2853.031479,Millones - Dólares estadounidenses corrientes,2025,Dato preliminar,Trimestral,Q3
2,         Crédito (exportaciones),18747.7513599,Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Anual,
2,         Crédito (exportaciones),4469.6180658,Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),4513.497449,Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),4869.7363157,Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),4894.8995294,Millones - Dólares estadounidenses corrientes,2000,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),18618.5594458,Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Anual,
2,         Crédito (exportaciones),4408.0250861,Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),4776.6622404,Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),4833.4235241,Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),4600.4485952,Millones - Dólares estadounidenses corrientes,2001,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),17920.339315,Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Anual,
2,         Crédito (exportaciones),4141.3311059,Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),4603.8966642,Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),4558.2072003,Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),4616.9043446,Millones - Dólares estadounidenses corrientes,2002,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),19854.4135128,Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Anual,
2,         Crédito (exportaciones),4425.5549409,Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),4847.893438,Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),5443.4326412,Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),5137.5324927,Millones - Dólares estadounidenses corrientes,2003,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),24335.5353048,Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Anual,
2,         Crédito (exportaciones),5076.7693901,Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),5821.8559433,Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),6489.9707299,Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),6946.9392415,Millones - Dólares estadounidenses corrientes,2004,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),30016.7168749,Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Anual,
2,         Crédito (exportaciones),6538.6042669,Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),7718.9948614,Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),7701.0797493,Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),8058.0379973,Millones - Dólares estadounidenses corrientes,2005,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),35382.2376697,Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Anual,
2,         Crédito (exportaciones),7937.8261022,Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),8723.2109385,Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),9127.7344861,Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),9593.4661429,Millones - Dólares estadounidenses corrientes,2006,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),42553.530931,Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Anual,
2,         Crédito (exportaciones),9021.82604,Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),10233.605115,Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),10902.946171,Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),12395.153605,Millones - Dólares estadounidenses corrientes,2007,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),51634.744893,Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Anual,
2,         Crédito (exportaciones),12052.553877,Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),13893.585845,Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),13803.160638,Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),11885.444533,Millones - Dólares estadounidenses corrientes,2008,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),46328.67124,Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Anual,
2,         Crédito (exportaciones),10904.005771,Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),11103.071353,Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),11658.781257,Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),12662.812859,Millones - Dólares estadounidenses corrientes,2009,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),54321.490578,Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Anual,
2,         Crédito (exportaciones),12503.681026,Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),13436.284173,Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),13467.74448,Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),14913.780899,Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),73817.316935,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Anual,
2,         Crédito (exportaciones),16340.441097,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),18724.785082,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),18855.853709,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),19896.237047,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),78956.972014,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Anual,
2,         Crédito (exportaciones),19933.101693,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),19532.205554,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),19247.416252,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),20244.248515,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),78420.426577,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Anual,
2,         Crédito (exportaciones),18593.389019,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),20005.058329,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),19459.002146,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),20362.977083,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),75609.983217,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Anual,
